Rank,Title,Year,Rated,Released,Runtime,Director,Plot,Poster,Metascore,imdbID,imdbRating,imdbVotes,Type
200,The General,1926,Passed,02 Jan 1927,67 min,"Clyde Bruckman, Buster Keaton","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,N/A,tt0017925,8.1,"79,706",movie
201,How to Train Your Dragon,2010,PG,26 Mar 2010,98 min,"Dean DeBlois, Chris Sanders","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,75,tt0892769,8.1,"655,512",movie
202,,,,,,,,,,,,,
203,12 Years a Slave,2013,R,08 Nov 2013,134 min,Steve McQueen,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,96,tt2024544,8.1,"630,541",movie
204,Mr. Smith Goes to Washington,1939,Passed,19 Oct 1939,129 min,Frank Capra,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,73,tt0031679,8.1,"105,593",movie
205,Barry Lyndon,1975,PG,18 Dec 1975,185 min,Stanley Kubrick,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,89,tt0072684,8.1,"147,202",movie
206,Mad Max: Fury Road,2015,R,15 May 2015,120 min,George Miller,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,90,tt1392190,8.1,"864,792",movie
207,Million Dollar Baby,2004,PG-13,28 Jan 2005,132 min,Clint Eastwood,A determined woman works with a hardened boxing trainer to become a professional.,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg,86,tt0405159,8.1,"628,166",movie
208,The Social Network,2010,PG-13,01 Oct 2010,120 min,David Fincher,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,95,tt1285016,7.7,"614,689",movie
209,Stand by Me,1986,R,26 Nov 1986,89 min,Rob Reiner,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,75,tt0092005,8.1,"358,434",movie
210,Dead Poets Society,1989,PG,09 Jun 1989,128 min,Peter Weir,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,79,tt0097165,8.1,"416,362",movie
211,Cool Hand Luke,1967,GP,01 Nov 1967,127 min,Stuart Rosenberg,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",https://m.media-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,92,tt0061512,8.1,"159,667",movie
212,Ben-Hur,1959,G,18 Nov 1959,212 min,William Wyler,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,90,tt0052618,8.1,"216,594",movie
213,Hachi: A Dog's Tale,2009,G,12 Mar 2010,93 min,Lasse Hallström,A college professor bonds with an abandoned dog he takes into his home.,https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,tt1028532,8.1,"247,817",movie
214,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,David Yates,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,85,tt1201607,8.1,"751,211",movie
215,Platoon,1986,R,06 Feb 1987,120 min,Oliver Stone,A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,92,tt0091763,8.1,"376,320",movie
216,Into the Wild,2007,R,19 Oct 2007,148 min,Sean Penn,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",https://m.media-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_SX300.jpg,73,tt0758758,8.1,"564,226",movie
217,Logan,2017,R,03 Mar 2017,137 min,James Mangold,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,77,tt3315342,8.1,"635,812",movie
218,,,,,,,,,,,,,
219,Monty Python's Life of Brian,1979,R,17 Aug 1979,94 min,Terry Jones,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",https://m.media-amazon.com/images/M/MV5BMzAwNjU1OTktYjY3Mi00NDY5LWFlZWUtZjhjNGE0OTkwZDkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,77,tt0079470,8.1,"361,934",movie
220,Rush,2013,R,27 Sep 2013,123 min,Ron Howard,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,74,tt1979320,8.1,"426,912",movie
221,The Handmaiden,2016,Not Rated,01 Jun 2016,145 min,Chan-wook Park,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,84,tt4016934,8.1,"107,379",movie
222,The 400 Blows,1959,Not Rated,16 Nov 1959,99 min,François Truffaut,"A young boy, left without attention, delves into a life of petty crime.",https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,tt0053198,8.1,"102,981",movie
223,,,,,,,,,,,,,
224,Andrei Rublev,1966,R,01 Oct 1973,205 min,Andrei Tarkovsky,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",https://m.media-amazon.com/images/M/MV5BNjM2MjMwNzUzN15BMl5BanBnXkFtZTgwMjEzMzE5MTE@._V1_SX300.jpg,N/A,tt0060107,8.1,"45,751",movie
225,Spotlight,2015,R,20 Nov 2015,129 min,Tom McCarthy,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,93,tt1895587,8.1,"410,854",movie
226,Hotel Rwanda,2004,PG-13,04 Feb 2005,121 min,Terry George,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,79,tt0395169,8.1,"330,955",movie
227,La Haine,1995,Not Rated,23 Feb 1996,98 min,Mathieu Kassovitz,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,https://m.media-amazon.com/images/M/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,tt0113247,8.1,"146,225",movie
228,Amores Perros,2000,R,13 Apr 2001,154 min,Alejandro G. Iñárritu,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",https://m.media-amazon.com/images/M/MV5BMjQxMWJhMzMtMzllZi00NzMwLTllYjktNTcwZmU4ZmU3NTA0XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_SX300.jpg,83,tt0245712,8.1,"221,070",movie
229,,,,,,,,,,,,,
230,Rocky,1976,PG,03 Dec 1976,120 min,John G. Avildsen,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX300.jpg,70,tt0075148,8.1,"510,804",movie
231,Nausicaä of the Valley of the Wind,1984,PG,25 Nov 1987,117 min,Hayao Miyazaki,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,https://m.media-amazon.com/images/M/MV5BZWFkN2ZhODAtYTNkZS00Y2NjLWIzNDYtNzJjNDNlMzAyNTIyXkEyXkFqcGdeQXVyODEzNjM5OTQ@._V1_SX300.jpg,86,tt0087544,8.1,"147,507",movie
232,Gangs of Wasseypur,2012,R,22 Jun 2012,321 min,Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_SX300.jpg,89,tt1954470,8.2,"80,064",movie
233,"Monsters, Inc.",2001,G,02 Nov 2001,92 min,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,79,tt0198781,8.0,"802,847",movie
234,Rebecca,1940,Approved,12 Apr 1940,130 min,Alfred Hitchcock,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,86,tt0032976,8.1,"121,918",movie
235,Rang De Basanti,2006,Not Rated,26 Jan 2006,167 min,Rakeysh Omprakash Mehra,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,N/A,tt0405508,8.2,"110,178",movie
236,Before Sunset,2004,R,30 Jul 2004,80 min,Richard Linklater,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_SX300.jpg,90,tt0381681,8.1,"230,780",movie
237,In the Mood for Love,2000,PG,09 Mar 2001,98 min,Kar-Wai Wong,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",https://m.media-amazon.com/images/M/MV5BYjZjODRlMjQtMjJlYy00ZDBjLTkyYTQtZGQxZTk5NzJhYmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,85,tt0118694,8.1,"121,158",movie
238,Portrait of a Lady on Fire,2019,R,14 Feb 2020,122 min,Céline Sciamma,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,95,tt8613070,8.1,"55,508",movie
239,"Paris, Texas",1984,R,23 Aug 1984,145 min,Wim Wenders,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_SX300.jpg,78,tt0087884,8.1,"88,389",movie
240,It Happened One Night,1934,Approved,22 Feb 1934,105 min,Frank Capra,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,87,tt0025316,8.1,"92,419",movie
241,Drishyam,2015,Not Rated,31 Jul 2015,163 min,Nishikant Kamat,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",https://m.media-amazon.com/images/M/MV5BYmJhZmJlYTItZmZlNy00MGY0LTg0ZGMtNWFkYWU5NTA1YTNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,N/A,tt4430212,8.2,"67,605",movie
242,The Invisible Guest,2016,N/A,06 Jan 2017,106 min,Oriol Paulo,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,https://m.media-amazon.com/images/M/MV5BMDk0YzAwYjktMWFiZi00Y2FmLWJmMmMtMzUyZDZmMmU5MjkzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,N/A,tt4857264,8.1,"131,729",movie
243,The Princess Bride,1987,PG,09 Oct 1987,98 min,Rob Reiner,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",https://m.media-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,77,tt0093779,8.1,"388,359",movie
244,The Help,2011,PG-13,10 Aug 2011,146 min,Tate Taylor,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_SX300.jpg,62,tt1454029,8.0,"423,006",movie
245,The Circus,1928,Passed,29 Jan 1928,72 min,Charles Chaplin,The Tramp finds work and the girl of his dreams at a circus.,https://m.media-amazon.com/images/M/MV5BM2QwYWQ0MWMtNzcwOC00N2Q2LWE1MDEtZmQxZjhiM2U1YzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,90,tt0018773,8.1,"28,271",movie
246,,,,,,,,,,,,,
247,The Terminator,1984,R,26 Oct 1984,107 min,James Cameron,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,84,tt0088247,8.0,"791,452",movie
248,Tangerines,2013,Not Rated,17 Apr 2015,87 min,Zaza Urushadze,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",https://m.media-amazon.com/images/M/MV5BMTgwNzA3MDQzOV5BMl5BanBnXkFtZTgwNTE5MDE5NDE@._V1_SX300.jpg,73,tt2991224,8.2,"38,660",movie
249,Aladdin,1992,G,25 Nov 1992,90 min,"Ron Clements, John Musker",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,86,tt0103639,8.0,"369,423",movie
250,Neon Genesis Evangelion: The End of Evangelion,1997,TV-14,01 Jun 2002,87 min,"Hideaki Anno, Kazuya Tsurumaki",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,https://m.media-amazon.com/images/M/MV5BZjJhMThkNTQtNjkxNy00MDdjLTg4MWQtMTI2MmQ3MDVmODUzXkEyXkFqcGdeQXVyMTAwOTA3NzY3._V1_SX300.jpg,N/A,tt0169858,8.1,"36,874",movie
